GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zadinventory,app.zad.zadinventory.controller,TagController,36,0,0,0,7,0,6,0,6,0
zadinventory,app.zad.zadinventory.controller,CategoriaController,0,63,0,0,0,14,0,8,0,8
zadinventory,app.zad.zadinventory.controller,OperacaoController,100,0,0,0,22,0,11,0,11,0
zadinventory,app.zad.zadinventory.controller,UsuarioController,49,0,0,0,9,0,8,0,8,0
zadinventory,app.zad.zadinventory.controller,ProdutoController,0,49,0,0,0,9,0,8,0,8
zadinventory,app.zad.zadinventory.config,JacksonConfig,0,31,0,0,0,8,0,2,0,2
zadinventory,app.zad.zadinventory.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
zadinventory,app.zad.zadinventory.config,CorsConfig.new WebMvcConfigurer() {...},0,54,0,0,0,7,0,2,0,2
zadinventory,app.zad.zadinventory.model.entity,CategoriaEntity,18,0,0,0,6,0,2,0,2,0
zadinventory,app.zad.zadinventory.model.enums,TipoUsuario,0,15,0,0,0,3,0,1,0,1
zadinventory,app.zad.zadinventory.model.enums,Situacao,0,21,0,0,0,4,0,1,0,1
zadinventory,app.zad.zadinventory,ZadinventoryApplication,5,3,0,0,2,1,1,1,1,1
zadinventory,app.zad.zadinventory.model.service,ProdutoService,320,0,46,0,63,0,42,0,19,0
zadinventory,app.zad.zadinventory.model.service,TagService,66,0,6,0,14,0,11,0,8,0
zadinventory,app.zad.zadinventory.model.service,OperacaoService,397,0,40,0,75,0,38,0,18,0
zadinventory,app.zad.zadinventory.model.service,UsuarioService,137,0,16,0,27,0,19,0,11,0
zadinventory,app.zad.zadinventory.model.service,CategoriaService,149,6,16,0,29,3,19,1,11,1
zadinventory,app.zad.zadinventory.controller.dto,OperacoesDto,18,0,0,0,1,0,1,0,1,0
zadinventory,app.zad.zadinventory.controller.dto,OperacoesDTORequest,18,0,0,0,1,0,1,0,1,0
zadinventory,app.zad.zadinventory.controller.dto,RelatorioVendasProdutoDto,15,0,0,0,1,0,1,0,1,0
zadinventory,app.zad.zadinventory.controller.dto,TotalVendasDto,9,0,0,0,1,0,1,0,1,0
zadinventory,app.zad.zadinventory.model.exception,RegraNegocioException,4,0,0,0,2,0,1,0,1,0
zadinventory,app.zad.zadinventory.model.exception,GlobalExceptionHandler,15,3,0,0,2,1,2,1,2,1
